ID,0 to 0.5 km,0.5 to 1 km,1 to 1.5 km,1.5 to 2 km,2 to 2.5 km,2.5 to 3 km,3 to 3.5 km,3.5 to 4 km,4 to 4.5 km,4.5 to 5 km,5 to 5.5 km,5.5 to 6 km,6 to 6.5 km,6.5 to 7 km,7 to 7.5 km,7.5 to 8 km,8 to 8.5 km,8.5 to 9 km,9 to 9.5 km,9.5 to 10 km,>10 km
851,8,49,55,69,63,45,23,27,16,10,9,8,5,4,5,3,2,0,2,4,10
897,8,49,55,62,60,43,30,23,22,18,18,8,8,3,5,1,1,0,0,1,2
959,12,44,78,51,53,34,25,25,19,17,10,13,11,6,3,0,1,3,2,0,10
1372,6,45,59,57,51,44,28,26,26,24,16,7,10,7,4,2,1,1,0,0,3
286,8,52,66,64,55,38,21,20,22,14,17,11,6,4,2,3,1,1,2,2,7
569,2,50,62,72,31,40,34,35,20,9,9,11,5,5,5,4,2,3,1,3,13
595,9,35,54,43,62,47,37,23,20,29,12,9,4,8,6,6,3,2,0,0,7
755,6,28,52,75,52,38,32,36,31,12,15,9,4,5,4,5,2,0,0,2,8
857,15,42,42,73,39,39,39,31,22,20,16,5,4,4,4,2,3,1,5,1,9
459,7,38,59,68,53,46,32,33,15,9,12,6,6,4,3,6,0,2,3,3,10
660,6,38,52,69,44,37,30,34,20,16,14,9,15,3,6,5,3,1,0,4,9
470,12,40,57,68,43,41,25,24,23,21,16,14,7,2,7,4,1,4,0,1,4
550,10,41,61,54,55,36,35,32,16,14,15,6,10,6,5,6,5,2,0,1,4
731,9,40,49,72,69,37,24,24,20,13,14,7,8,10,0,4,1,2,2,2,7
768,8,39,59,63,55,33,35,27,19,16,10,13,7,8,5,4,3,0,0,1,9
10,10,31,63,72,45,36,29,29,29,16,12,12,6,3,5,3,1,1,2,1,7
89,8,34,56,77,46,33,31,40,20,12,12,13,9,5,2,4,3,4,0,0,4
90,7,43,74,70,34,39,41,33,19,14,8,3,7,4,2,1,3,2,1,0,8
212,5,38,69,55,57,40,29,19,24,15,14,9,8,8,7,3,4,2,2,0,5
227,10,46,68,75,50,32,30,21,18,19,9,15,5,4,2,1,1,0,0,2,5
375,13,47,66,73,61,36,18,19,21,7,10,13,8,7,2,3,0,1,0,0,8
527,11,28,48,63,56,34,33,39,25,12,15,10,4,8,1,5,4,1,2,4,10
553,13,41,57,62,60,33,34,26,17,17,14,7,4,4,11,5,1,3,0,1,3
765,3,42,62,64,47,33,29,29,28,12,19,13,10,1,5,4,0,1,1,0,10
809,9,44,69,69,55,37,38,17,17,14,11,4,1,12,6,2,0,2,2,0,4
1392,6,52,61,73,63,30,27,16,22,8,12,7,11,5,3,3,3,1,2,1,7
279,11,37,55,61,59,46,30,22,19,14,8,13,9,7,3,5,0,1,1,5,6
316,4,44,50,63,56,44,23,32,16,16,19,11,6,9,4,3,0,4,2,0,6
498,5,41,64,68,59,34,19,32,22,23,6,7,8,5,5,2,1,1,0,0,10
584,6,39,65,49,57,45,31,28,26,16,10,11,5,3,2,1,2,0,3,1,12
591,7,40,59,62,54,44,20,25,28,19,15,6,6,6,2,3,2,2,1,4,7
628,5,40,44,62,50,34,42,29,19,17,14,12,9,4,9,4,1,2,1,5,9
675,8,45,57,46,65,43,31,35,19,11,12,13,2,4,7,4,0,1,1,1,7
800,7,39,60,65,61,41,20,25,27,13,12,9,7,3,1,4,2,2,2,2,10
856,15,41,50,63,51,42,29,24,24,17,16,14,3,5,2,3,4,0,1,0,8
895,5,36,50,47,60,43,28,28,30,20,8,12,11,9,5,2,2,3,0,2,11
81,9,41,53,74,62,34,40,26,19,9,8,12,7,2,4,3,1,3,0,1,3
201,7,55,58,61,68,35,29,27,12,14,10,9,5,2,3,5,2,0,4,1,4
390,4,32,68,61,53,33,33,27,30,11,12,8,9,6,5,2,6,2,1,2,6
574,8,44,59,55,44,44,32,29,27,11,20,8,5,6,2,4,4,1,2,0,6
607,13,42,58,72,38,32,31,29,18,22,21,8,4,4,2,2,5,3,2,1,4
668,10,30,63,64,53,47,37,28,15,18,12,5,6,4,2,4,1,2,2,1,7
887,11,43,54,67,58,39,30,27,14,15,10,7,4,6,10,5,1,2,1,2,5
777,3,47,54,62,54,37,18,39,22,19,13,5,7,6,5,5,1,1,1,4,7
912,11,41,53,52,54,49,28,30,27,18,12,9,6,4,2,4,3,4,1,0,2
978,5,34,54,75,62,40,28,30,13,15,18,5,7,2,5,5,3,1,1,1,6
294,15,33,35,80,57,37,32,25,24,15,10,9,5,6,5,5,4,0,0,1,11
404,7,42,54,60,48,38,27,31,19,15,13,12,12,7,5,5,5,0,2,3,4
467,9,42,55,70,43,42,23,36,16,16,12,15,8,5,5,2,4,0,0,2,4
673,5,40,63,66,49,42,34,23,28,15,14,11,2,3,4,4,1,1,0,1,3
713,9,58,60,57,59,36,9,33,12,17,7,12,8,4,3,2,1,3,5,1,13
861,6,32,65,70,38,34,32,31,20,16,14,9,4,7,9,4,3,2,2,2,9
1098,7,41,43,83,75,34,24,33,14,13,11,4,9,5,2,4,4,0,0,0,3
311,10,43,56,63,43,47,27,25,18,19,21,8,5,4,3,1,3,1,3,1,7
497,6,34,57,68,47,48,28,29,21,12,16,11,7,2,5,4,0,3,2,0,8
508,8,45,41,62,60,49,21,27,23,15,11,14,7,1,4,2,1,2,0,3,12
